Category,Term,BP,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,,,,,,,,,,
GOTERM_BP_DIRECT,GO:0006730~one-carbon metabolic process,,11,39.2857142857143,6.15474170985197E-22,CA12, CA1, CA5B, CA3, CA2, CA5A, CA4, CA7, CA6, CA9, CA14,28,35,19734,221.504081632653,2.35111133316345E-19,2.35111133316345E-19,2.29571865777479E-19
GOTERM_BP_DIRECT,GO:0001973~G protein-coupled adenosine receptor signaling pathway,,4,14.2857142857143,1.27322163151171E-07,ADORA2A, ADORA2B, ADORA3, ADORA1,28,8,19734,352.392857142857,4.86358866549352E-05,2.43185331618737E-05,2.37455834276935E-05,,,,,,,
GOTERM_BP_DIRECT,GO:0030574~collagen catabolic process,,5,17.8571428571429,2.71798581350169E-07,MMP12, MMP13, MMP1, MMP2, MMP9,28,41,19734,85.9494773519164,0.000103821682325922,3.46090193585882E-05,3.37936236145377E-05,,,,,,
GOTERM_BP_DIRECT,GO:0022617~extracellular matrix disassembly,,5,17.8571428571429,4.35933584507969E-07,MMP12, MMP13, MMP1, MMP2, MMP9,28,46,19734,76.6071428571429,0.000166512800762741,4.16316573205111E-05,4.06508067553681E-05,,,,,,
GOTERM_BP_DIRECT,GO:1904645~response to amyloid-beta,,4,14.2857142857143,1.26396067477319E-06,MMP12, MMP13, MMP2, MMP9,28,16,19734,176.196428571429,0.000482716737679856,9.65665955526717E-05,9.42914663380799E-05,,,,,,,
GOTERM_BP_DIRECT,GO:0030198~extracellular matrix organization,,6,21.4285714285714,3.37412270531159E-06,MMP12, APP, MMP13, MMP1, MMP2, MMP9,28,173,19734,24.4434351775392,0.00128808675111369,0.000214819145571505,0.000209757961513537,,,,,
GOTERM_BP_DIRECT,GO:0071492~cellular response to UV-A,,3,10.7142857142857,9.83987574454635E-05,MMP1, MMP2, MMP9,28,11,19734,192.214285714286,0.0368924342153574,0.00536976076345244,0.00524324807530827,,,,,,,,
GOTERM_BP_DIRECT,GO:0032230~positive regulation of synaptic transmission,,3,3,10.7142857142857,0.000213783719119589,ADORA2A, CA2, CA7,28,16,19734,132.147321428571,0.078427760267698,0.0102081725879604,0.00996766590395084,,,,,,,
GOTERM_BP_DIRECT,GO:0006508~proteolysis,,6,21.4285714285714,0.000828445610897906,MMP12, APP, MMP13, MMP1, MMP2, MMP9,28,554,19734,7.63305827746261,0.27137594773483,0.0302748924179949,0.0295616096123353,,,,,
GOTERM_BP_DIRECT,GO:0070050~neuron cellular homeostasis,,3,10.7142857142857,0.000871790095806136,APP, CA2, CA7,28,32,19734,66.0736607142857,0.283350975962521,0.0302748924179949,0.0295616096123353,,,,,,,,
GOTERM_BP_DIRECT,GO:0099171~presynaptic modulation of chemical synaptic transmission,,3,10.7142857142857,0.000871790095806136,ADORA2A, ADORA2B, ADORA3,28,32,19734,66.0736607142857,0.283350975962521,0.0302748924179949,0.0295616096123353,,,,,,,,
GOTERM_BP_DIRECT,GO:0042311~vasodilation,,3,10.7142857142857,0.00172110119907587,ADORA2A, ADORA2B, ADORA1,28,45,19734,46.9857142857143,0.482127955835272,0.0547883881705819,0.053497562271275,,,,,,,,
GOTERM_BP_DIRECT,GO:0014061~regulation of norepinephrine secretion,,2,7.14285714285714,0.00546198088005658,ADORA2A, ADORA3,28,4,19734,352.392857142857,0.876584143406002,0.139098446412108,0.135821257884074,,,,,,,,,
GOTERM_BP_DIRECT,GO:2001225~regulation of chloride transport,,2,7.14285714285714,0.00546198088005658,CA2, CA7,28,4,19734,352.392857142857,0.876584143406002,0.139098446412108,0.135821257884074,,,,,,,,,
GOTERM_BP_DIRECT,GO:0032849~positive regulation of cellular pH reduction,,2,7.14285714285714,0.00546198088005658,CA2, CA7,28,4,19734,352.392857142857,0.876584143406002,0.139098446412108,0.135821257884074,,,,,,,,,
GOTERM_BP_DIRECT,GO:0046903~secretion,,2,7.14285714285714,0.0108952276439532,CA2, CA9,28,8,19734,176.196428571429,0.984774990548541,0.244822174117067,0.239054112423209,,,,,,,,,
