,numCTs,unitProt,numVariantsGDA,HPOClass,type,evidenceIndexGDA,numDiseasesAssociatedToGene,geneNcbiID,numPMIDs,evidenceLevelGDA,geneEnsemblIDs,geneNcbiType,geneDSI,geneFullName,genePLI,diseaseUMLSCUI,disease,gene,numVariantsAssociatedToGene,numberPmidsWithChemsIncludedInEvidence,lastRef,numberChemsIncludedInEvidence,pathwayNames,geneDPI,pathwayIDs,numVariantsDisease,proteinClass,DOClass,diseaseClass,semanticType,numGenesDisease,firstRef,scoreGDA
,8,P32245,73,Growth abnormality (01507),disease,0.891803278688525,16,4160,96,,ENSG00000166603,protein-coding,0.51,melanocortin 4 receptor,0.000020768,C0028754,Obesity,MC4R,96,2,2018,2,"Developmental Biology,Signal Transduction",0.87,"R-HSA-1266738,R-HSA-162582",345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1957,1
,3,"P13945,A8KAG8",3,Growth abnormality (01507),disease,0.798283261802575,23,155,16,,ENSG00000188778,protein-coding,0.5,adrenoceptor beta 3,2.7754E-16,C0028754,Obesity,ADRB3,3,0,2004,0,Signal Transduction,0.83,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1995,1
,168,"P41159,A4D0Y8",0,Growth abnormality (01507),disease,0.888,59,3952,15,,ENSG00000174697,protein-coding,0.31,leptin,0.0070036,C0028754,Obesity,LEP,66,1,2019,1,"Developmental Biology,Signal Transduction,Metabolism of proteins",0.96,"R-HSA-1266738,R-HSA-162582,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1997,1
,7,"Q4G138,P48357",2,Growth abnormality (01507),disease,0.863453815261044,67,3953,14,,ENSG00000116678,protein-coding,0.41,leptin receptor,0.000088607,C0028754,Obesity,LEPR,98,2,2023,2,Signal Transduction,0.96,R-HSA-162582,345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1986,1
,14,P01189,26,Growth abnormality (01507),disease,0.865079365079365,115,5443,9,,ENSG00000115138,protein-coding,0.32,proopiomelanocortin,3.3396E-10,C0028754,Obesity,POMC,40,0,2013,0,"Developmental Biology,Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",0.96,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1998,1
,5,"A0A1B0GTC5,Q99770,Q9C0B1,B3KU60",9,Growth abnormality (01507),disease,0.901891252955083,32,79068,6,,ENSG00000140718,protein-coding,0.43,FTO alpha-ketoglutarate dependent dioxygenase,1.1171E-10,C0028754,Obesity,FTO,226,0,2010,0,DNA Repair,0.96,R-HSA-73894,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2007,1
,98,"Q5STB3,P01375",0,Growth abnormality (01507),disease,0.878581173260573,308,7124,4,,ENSG00000232810,protein-coding,0.23,tumor necrosis factor,0.85687,C0028754,Obesity,TNF,9,2,2018,1,"Developmental Biology,Signal Transduction,Immune System",0.96,"R-HSA-1266738,R-HSA-162582,R-HSA-168256",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1998,1
,543,"I3WAC9,P01308",0,Growth abnormality (01507),disease,0.869399428026692,95,3630,4,,ENSG00000254647,protein-coding,0.25,insulin,0.019763,C0028754,Obesity,INS,62,1,2018,1,"Developmental Biology,Metabolism,Signal Transduction,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription)",0.96,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-392499,R-HSA-5653656,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1989,1
,95,Q9UBU3,3,Growth abnormality (01507),disease,0.882226980728051,25,51738,3,,ENSG00000157017,protein-coding,0.37,ghrelin and obestatin prepropeptide,0.00009528,C0028754,Obesity,GHRL,4,0,2005,0,"Signal Transduction,Metabolism of proteins",0.96,"R-HSA-162582,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2001,1
,48,P10082,1,Growth abnormality (01507),disease,0.815533980582524,10,5697,3,,ENSG00000131096,protein-coding,0.5,peptide YY,0.000020343,C0028754,Obesity,PYY,64,0,2006,0,Signal Transduction,0.83,R-HSA-162582,345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2000,1
,3,"E9PFX5,D2KUA6,P37231,A0A494C1F9,E9PFV2",14,Growth abnormality (01507),disease,0.917127071823204,77,5468,3,,ENSG00000132170,protein-coding,0.33,peroxisome proliferator activated receptor gamma,0.21172,C0028754,Obesity,PPARG,103,0,2017,0,"Developmental Biology,Metabolism,Signal Transduction,Metabolism of proteins,Gene expression (Transcription)",0.96,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-392499,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1998,1
,114,"P05231,B4DVM1,Q75MH2,B5MC21,B4DNQ5",0,Growth abnormality (01507),disease,0.888888888888889,209,3569,2,,ENSG00000136244,protein-coding,0.23,interleukin 6,0.19935,C0028754,Obesity,IL6,5,0,2013,0,"Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",0.96,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,1
