Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","78.486198425293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"MC4R","Melanocortin 4 Receptor","Protein Coding","P32245","58","GC18M060371","70.7209930419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R"
"POMC","Proopiomelanocortin","Protein Coding","P01189","61","GC02M025160","57.8696632385254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"LEPR","Leptin Receptor","Protein Coding","P48357","62","GC01P067643","55.22265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"FTO","FTO Alpha-Ketoglutarate Dependent Dioxygenase","Protein Coding","Q9C0B1","58","GC16P105500","51.7414779663086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","51.6712493896484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"PCSK1","Proprotein Convertase Subtilisin/Kexin Type 1","Protein Coding","P29120","62","GC05M096391","45.3460540771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK1"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","44.9640007019043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"UCP3","Uncoupling Protein 3","Protein Coding","P55916","54","GC11M074000","36.9017066955566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP3"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","54","GC03M010285","36.6867790222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","36.384765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","P13945","55","GC08M037962","35.5349082946777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"SIM1","SIM BHLH Transcription Factor 1","Protein Coding","P81133","52","GC06M101702","35.2442817687988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIM1"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","58","GC11M073974","34.6134643554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","P22413","62","GC06P131808","32.4252471923828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"AFF4","ALF Transcription Elongation Factor 4","Protein Coding","Q9UHB7","53","GC05M132875","32.0564155578613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF4"
"CAST","Calpastatin","Protein Coding","P20810","61","GC05P095975","31.7852478027344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAST"
"LOC101929710","Uncharacterized LOC101929710","RNA Gene","","18","GC05P095962","31.3743648529053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101929710"
"MC3R","Melanocortin 3 Receptor","Protein Coding","P41968","52","GC20P056248","29.7562675476074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC3R"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","28.4359035491943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","Q16620","66","GC09P084668","28.1537857055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","27.4059047698975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
