"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","1.0","28 /  24     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","1.0","2 /  18     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.17256261086","2 /  3     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.17256261086","1 /  6     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","0.139088623131","1 /  5     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.113979814646","1 /  16     "
"Leukocyte elastase","ELANE","P08246","CHEMBL248","Protease","0.0972399887602","0 /  2     "
"Glucose-6-phosphate translocase","SLC37A4","O43826","CHEMBL3217398","Electrochemical transporter","0.0972399887602","0 /  2     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.0972399887602","15 /  1     "
"Protein kinase C delta   (by homology)","PRKCD","Q05655","CHEMBL2996","Kinase","0.0972399887602","0 /  51     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.0972399887602","0 /  243     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.0972399887602","0 /  3     "
"Phosphodiesterase 5A","PDE5A","O76074","CHEMBL1827","Phosphodiesterase","0.0972399887602","0 /  1     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0972399887602","0 /  3     "
"Phosphodiesterase 9A","PDE9A","O76083","CHEMBL3535","Phosphodiesterase","0.0972399887602","0 /  1     "
"Phosphodiesterase 1B","PDE1B","Q01064","CHEMBL4425","Phosphodiesterase","0.0972399887602","0 /  1     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0972399887602","60 /  24     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0972399887602","48 /  33     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0972399887602","27 /  32     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0972399887602","29 /  36     "
"Carbonic anhydrase VB","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.0972399887602","0 /  14     "
"Endothelin receptor ET-A   (by homology)","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0972399887602","0 /  1     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0972399887602","0 /  72     "
"Sialidase 4","NEU4","Q8WWR8","CHEMBL4174","Enzyme","0.0972399887602","6 /  0     "
"AMP deaminase 3","AMPD3","Q01432","CHEMBL2912","Enzyme","0.0","2 /  0     "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Enzyme","0.0","0 /  2     "
"Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP","PTPN22","Q9Y2R2","CHEMBL2889","Phosphatase","0.0","4 /  0     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.0","0 /  1     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0","0 /  2     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.0","0 /  1     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.0","0 /  3     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.0","0 /  1     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0","0 /  1     "
"Aldo-keto reductase family 1 member C4","AKR1C4","P17516","CHEMBL4999","Enzyme","0.0","0 /  1     "
